c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
cJSON_AddItemToObject,cJSON.c,2104,"(object: cJSON *, string: const char *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_AddItemToObject,cJSON_AddItemToObjectCS,0.426,0.0,ABSTAIN,CONFLICT,STUB:cJSON_AddItemToObject,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2104 (add_item_to_object(object, string, item, &global_hooks, false)). Rust src/cjson.rs:2351 cJSON_AddItemToObject(object, string, item) is a STUB returning 0 ('Default return value for cJSON_bool'); correspondence by exact name and 3-param signature. Rejected matcher_forced=cJSON_AddItemToObjectCS (src/cjson.rs:2362): it calls add_item_to_object(..., 1_i32) i.e. constant_key=true, which is C cJSON_AddItemToObjectCS; the C non-CS variant passes false."
cJSON_AddItemToObjectCS,cJSON.c,2110,"(object: cJSON *, string: const char *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_AddItemToObjectCS,cJSON_AddNullToObject,0.36,-0.066,ABSTAIN,CONFLICT,cJSON_AddItemToObjectCS,"C cJSON.c:2110 (add_item_to_object(..., &global_hooks, true)). Rust src/cjson.rs:2362 calls add_item_to_object(object, string, item, hooks, 1_i32). Body match (extra hooks param models &global_hooks). Rejected matcher_forced=cJSON_AddNullToObject (src/cjson.rs:2544): calls cJSON_CreateNull then add_item_to_object(..., 0)."
cJSON_AddItemReferenceToArray,cJSON.c,2115,"(array: cJSON *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_AddItemReferenceToArray,cJSON_AddItemReferenceToArray,0.393,0.026,cJSON_AddItemReferenceToArray,single-source,cJSON_AddItemReferenceToArray,"C cJSON.c:2115 (array NULL -> false; add_item_to_array(array, create_reference(item, &global_hooks))). Rust src/cjson.rs:2013: array None -> 0, create_reference(item, hooks), returns 1 if reference created (add_item_to_array call replaced by is_some check, explained in comment). Body match."
cJSON_AddItemReferenceToObject,cJSON.c,2125,"(object: cJSON *, string: const char *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_AddItemReferenceToObject,cJSON_AddItemReferenceToObject,0.437,0.052,cJSON_AddItemReferenceToObject,single-source,cJSON_AddItemReferenceToObject,"C cJSON.c:2125 ((object||string NULL) -> false; add_item_to_object(object, string, create_reference(item,&global_hooks), &global_hooks, false)). Rust src/cjson.rs:2378: same null checks, create_reference(item, Some(&global_hooks)), add_item_to_object(object_ref, string, boxed_item, Some(&global_hooks), 0). Body match."
cJSON_AddNullToObject,cJSON.c,2135,"(object: cJSON *const, name: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddNullToObject,cJSON_AddObjectToObject,0.368,-0.024,ABSTAIN,CONFLICT,cJSON_AddNullToObject,"C cJSON.c:2135 (null = cJSON_CreateNull(); if add_item_to_object(...false) return null; cJSON_Delete; NULL). Rust src/cjson.rs:2544: let null = cJSON_CreateNull(); add_item_to_object(object, name, None, hooks, 0); if added return null else None (cJSON_Delete dropped; extra hooks param). Body match. Rejected matcher_forced=cJSON_AddObjectToObject (src/cjson.rs:2772): creates via cJSON_CreateObject."
cJSON_AddTrueToObject,cJSON.c,2147,"(object: cJSON *const, name: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddTrueToObject,cJSON_AddRawToObject,0.322,-0.071,ABSTAIN,CONFLICT,cJSON_AddTrueToObject,"C cJSON.c:2147. Rust src/cjson.rs:2592: true_item = cJSON_CreateTrue(); add_item_to_object(object, name, None, hooks, 0); return true_item on success. Body match (the C body is quoted verbatim in the comment at 2584-2591). Rejected matcher_forced=cJSON_AddRawToObject (src/cjson.rs:3033): creates via cJSON_CreateRaw(raw)."
cJSON_AddFalseToObject,cJSON.c,2159,"(object: cJSON *const, name: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddFalseToObject,cJSON_DetachItemFromObjectCaseSensitive,0.214,-0.178,ABSTAIN,CONFLICT,cJSON_AddFalseToObject,"C cJSON.c:2159. Rust src/cjson.rs:2626: false_item = cJSON_CreateFalse(); add_item_to_object(..., 0); return false_item on success. Body match. Rejected matcher_forced=cJSON_DetachItemFromObjectCaseSensitive (src/cjson.rs:1973): stub returning None."
cJSON_AddBoolToObject,cJSON.c,2171,"(object: cJSON *const, name: const char *const, boolean: const cJSON_bool) -> cJSON *",,,NO_MAP,,,cJSON_AddBoolToObject,cJSON_AddBoolToObject,0.373,-0.056,ABSTAIN,single-source,cJSON_AddBoolToObject,"C cJSON.c:2171. Rust src/cjson.rs:2652: bool_item = cJSON_CreateBool(boolean); then add_item_to_object(object, name, None, local_hooks, 0) with the C body quoted; degenerate (returns None on every path) but the calls and parameter (boolean) match. Body match."
cJSON_AddNumberToObject,cJSON.c,2183,"(object: cJSON *const, name: const char *const, number: const double) -> cJSON *",,,NO_MAP,,,cJSON_AddNumberToObject,cJSON_AddNumberToObject,0.387,-0.041,ABSTAIN,single-source,cJSON_AddNumberToObject,"C cJSON.c:2183. Rust src/cjson.rs:2709: number_item = cJSON_CreateNumber(number); copies its fields into an owned cJSON; add_item_to_object(object, name, Some(Box::new(owned)), hooks, 0). Body match (returns None on both paths)."
cJSON_AddStringToObject,cJSON.c,2195,"(object: cJSON *const, name: const char *const, string: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddStringToObject,cJSON_AddItemToObject,0.207,-0.217,ABSTAIN,CONFLICT,cJSON_AddStringToObject,"C cJSON.c:2195 (string_item = cJSON_CreateString(string); add_item_to_object; return string_item). Rust src/cjson.rs:2996: string_item = cJSON_CreateString(string); None -> None; the add_item_to_object call is DROPPED (comment explains) and the created item is returned unconditionally. Still the translation of this function (name, params object/name/string, CreateString call). Rejected matcher_forced=cJSON_AddItemToObject (src/cjson.rs:2351): stub returning 0."
cJSON_AddRawToObject,cJSON.c,2207,"(object: cJSON *const, name: const char *const, raw: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddRawToObject,cJSON_AddStringToObject,0.425,-0.004,ABSTAIN,CONFLICT,cJSON_AddRawToObject,"C cJSON.c:2207. Rust src/cjson.rs:3033: raw_item = cJSON_CreateRaw(raw); None -> None; add_item_to_object(object, name, None, hooks, 0); return raw_item on success. Body match. Rejected matcher_forced=cJSON_AddStringToObject (src/cjson.rs:2996): creates via cJSON_CreateString."
cJSON_AddObjectToObject,cJSON.c,2219,"(object: cJSON *const, name: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddObjectToObject,cJSON_AddTrueToObject,0.367,-0.025,ABSTAIN,CONFLICT,cJSON_AddObjectToObject,"C cJSON.c:2219. Rust src/cjson.rs:2772: object_item = cJSON_CreateObject(); add_item_to_object(object, name, None, Some(&global_hooks), 0) != 0 -> return object_item; else None. Body match. Rejected matcher_forced=cJSON_AddTrueToObject (src/cjson.rs:2592): creates via cJSON_CreateTrue."
cJSON_AddArrayToObject,cJSON.c,2231,"(object: cJSON *const, name: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_AddArrayToObject,suffix_object,0.22,-0.17,ABSTAIN,CONFLICT,cJSON_AddArrayToObject,"C cJSON.c:2231. Rust src/cjson.rs:2801: array = cJSON_CreateArray(); boxes a copy; add_item_to_object(object, name, item, hooks, 0); returns a reconstructed Box on success else None. Body match (extra hooks param). Rejected matcher_forced=suffix_object (src/cjson.rs:546): two-node link helper."
cJSON_DetachItemViaPointer,cJSON.c,2243,"(parent: cJSON *, item: cJSON *const) -> cJSON *",,,NO_MAP,,,cJSON_DetachItemViaPointer,cJSON_ParseWithLengthOpts,0.281,-0.08,ABSTAIN,CONFLICT,cJSON_DetachItemViaPointer,"C cJSON.c:2243. Rust src/cjson.rs:1246: early check quoted '(parent == NULL) || (item == NULL) || (item != parent->child && item->prev == NULL)', then item->prev->next = item->next, item->next->prev = item->prev, parent->child = item->next if first, else parent->child->prev = item->prev if last, item.prev = item.next = None, return item. Body match. Rejected matcher_forced=cJSON_ParseWithLengthOpts (src/cjson.rs:3095): stub returning None."
cJSON_DetachItemFromArray,cJSON.c,2279,"(array: cJSON *, which: int) -> cJSON *",,,NO_MAP,,,cJSON_DetachItemFromArray,cJSON_GetArrayItem,0.147,-0.225,ABSTAIN,CONFLICT,STUB:cJSON_DetachItemFromArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2279 (which < 0 -> NULL; DetachItemViaPointer(array, get_array_item(array, which))). Rust src/cjson.rs:1869 cJSON_DetachItemFromArray(array, which: i32) is a STUB returning None; correspondence by exact name and signature. No other Rust fn combines get_array_item + cJSON_DetachItemViaPointer (grep: DetachItemViaPointer has zero callers). Rejected matcher_forced=cJSON_GetArrayItem (src/cjson.rs:1243): also a stub, but it is the slot for C cJSON_GetArrayItem (name + (array, index) signature)."
cJSON_DeleteItemFromArray,cJSON.c,2289,"(array: cJSON *, which: int) -> void",,,NO_MAP,,,,print_string,0.374,-0.015,ABSTAIN,single-source,NONE,"C cJSON.c:2289 (cJSON_Delete(cJSON_DetachItemFromArray(array, which))). No same-name Rust fn; grep 'DeleteItem' / 'Delete' over src/ returns nothing; no Rust fn calls cJSON_DetachItemFromArray. Rejected matcher_forced=print_string (src/cjson.rs:1875): calls print_string_ptr on item.valuestring = C print_string. Functionality dropped -> NONE."
cJSON_DetachItemFromObject,cJSON.c,2294,"(object: cJSON *, string: const char *) -> cJSON *",,,NO_MAP,,,cJSON_DetachItemFromObject,cJSON_CreateDoubleArray,0.225,-0.195,ABSTAIN,CONFLICT,STUB:cJSON_DetachItemFromObject,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2294 (to_detach = cJSON_GetObjectItem; DetachItemViaPointer). Rust src/cjson.rs:1966 cJSON_DetachItemFromObject(object, string) is a STUB returning None ('Default stubbed return'); correspondence by exact name and signature. Rejected matcher_forced=cJSON_CreateDoubleArray (src/cjson.rs:2533): stub returning None, numbers/count signature."
cJSON_DetachItemFromObjectCaseSensitive,cJSON.c,2301,"(object: cJSON *, string: const char *) -> cJSON *",,,NO_MAP,,,cJSON_DetachItemFromObjectCaseSensitive,cJSON_DetachItemFromObject,0.217,-0.203,ABSTAIN,CONFLICT,STUB:cJSON_DetachItemFromObjectCaseSensitive,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2301 (to_detach = cJSON_GetObjectItemCaseSensitive; DetachItemViaPointer). Rust src/cjson.rs:1973 is a STUB returning None; correspondence by exact name and signature. Rejected matcher_forced=cJSON_DetachItemFromObject (src/cjson.rs:1966): that stub is the slot for the case-insensitive C variant (different exact name)."
cJSON_DeleteItemFromObject,cJSON.c,2308,"(object: cJSON *, string: const char *) -> void",,,NO_MAP,,,,cJSON_ReplaceItemInObjectCaseSensitive,0.311,-0.126,ABSTAIN,single-source,NONE,"C cJSON.c:2308 (cJSON_Delete(cJSON_DetachItemFromObject(object, string))). No same-name Rust fn; grep 'DeleteItem'/'Delete' finds nothing; nothing calls cJSON_DetachItemFromObject. Rejected matcher_forced=cJSON_ReplaceItemInObjectCaseSensitive (src/cjson.rs:3125): calls replace_item_in_object(..., 1_i32) = C ReplaceItemInObjectCaseSensitive. -> NONE."
cJSON_DeleteItemFromObjectCaseSensitive,cJSON.c,2313,"(object: cJSON *, string: const char *) -> void",,,NO_MAP,,,,cJSON_Duplicate,0.351,-0.086,ABSTAIN,single-source,NONE,"C cJSON.c:2313 (cJSON_Delete(cJSON_DetachItemFromObjectCaseSensitive(...))). No same-name Rust fn; grep finds no Delete anywhere; nothing calls cJSON_DetachItemFromObjectCaseSensitive. Rejected matcher_forced=cJSON_Duplicate (src/cjson.rs:3109): calls cJSON_Duplicate_rec(item, 0, recurse) = C cJSON_Duplicate. -> NONE."
cJSON_InsertItemInArray,cJSON.c,2319,"(array: cJSON *, which: int, newitem: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_InsertItemInArray,cJSON_AddArrayToObject,0.296,-0.064,ABSTAIN,CONFLICT,STUB:cJSON_InsertItemInArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2319 (which<0||newitem NULL -> false; get_array_item; add_item_to_array fallback; relink prev/next). Rust src/cjson.rs:2035 cJSON_InsertItemInArray(array, which, newitem) is a STUB returning 0; correspondence by exact name and (array, which, newitem) signature. No other Rust fn implements 'after_inserted' relinking (grep found none). Rejected matcher_forced=cJSON_AddArrayToObject (src/cjson.rs:2801): CreateArray + add_item_to_object."
cJSON_ReplaceItemViaPointer,cJSON.c,2353,"(parent: cJSON *const, item: cJSON *const, replacement: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_ReplaceItemViaPointer,cJSON_ReplaceItemViaPointer,0.139,-0.232,ABSTAIN,single-source,STUB:cJSON_ReplaceItemViaPointer,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2353. Rust src/cjson.rs:2536 cJSON_ReplaceItemViaPointer(parent, item, replacement) is a STUB returning 0; correspondence by exact name and 3-param signature; it is what cJSON_ReplaceItemInArray/replace_item_in_object would call. No other Rust fn implements replacement->next/prev splicing (grep found none)."
cJSON_ReplaceItemInArray,cJSON.c,2402,"(array: cJSON *, which: int, newitem: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_ReplaceItemInArray,cJSON_ReplaceItemInArray,0.148,-0.224,ABSTAIN,single-source,STUB:cJSON_ReplaceItemInArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2402 (which<0 -> false; ReplaceItemViaPointer(array, get_array_item(array, which), newitem)). Rust src/cjson.rs:3073 cJSON_ReplaceItemInArray(array, which, newitem) is a STUB returning 0; correspondence by exact name and signature."
replace_item_in_object,cJSON.c,2412,"(object: cJSON *, string: const char *, replacement: cJSON *, case_sensitive: cJSON_bool) -> cJSON_bool",,,NO_MAP,,,replace_item_in_object,replace_item_in_object,0.235,-0.122,ABSTAIN,single-source,STUB:replace_item_in_object,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2412 (strdup key into replacement, clear StringIsConst, ReplaceItemViaPointer(object, get_object_item(...), replacement)). Rust src/cjson.rs:3083 is a STUB returning 0; doc comment at 3080 'Translated stub for: static cJSON_bool replace_item_in_object(...)', same 4 params; called from cJSON_ReplaceItemInObject/CaseSensitive as in C."
cJSON_ReplaceItemInObject,cJSON.c,2435,"(object: cJSON *, string: const char *, newitem: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_ReplaceItemInObject,cJSON_ReplaceItemInObject,0.339,-0.058,ABSTAIN,single-source,cJSON_ReplaceItemInObject,"C cJSON.c:2435 (replace_item_in_object(object, string, newitem, false)). Rust src/cjson.rs:3114 returns replace_item_in_object(object, string, newitem, 0). Body match."
cJSON_ReplaceItemInObjectCaseSensitive,cJSON.c,2440,"(object: cJSON *, string: const char *, newitem: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_ReplaceItemInObjectCaseSensitive,cJSON_InsertItemInArray,0.214,-0.184,ABSTAIN,CONFLICT,cJSON_ReplaceItemInObjectCaseSensitive,"C cJSON.c:2440 (replace_item_in_object(..., true)). Rust src/cjson.rs:3125 returns replace_item_in_object(object, string, newitem, 1_i32). Body match. Rejected matcher_forced=cJSON_InsertItemInArray (src/cjson.rs:2035): stub returning 0."
cJSON_CreateNull,cJSON.c,2446,() -> cJSON *,,,NO_MAP,,,cJSON_CreateNull,cJSON_CreateTrue,0.353,-0.049,ABSTAIN,CONFLICT,cJSON_CreateNull,C cJSON.c:2446 (New_Item; type = cJSON_NULL (1<<2)). Rust src/cjson.rs:1546: cJSON_New_Item(None); type_ = 1 << 2. Body match. Rejected matcher_forced=cJSON_CreateTrue (src/cjson.rs:1556): sets type_ = 1 << 1 (cJSON_True).
cJSON_CreateTrue,cJSON.c,2457,() -> cJSON *,,,NO_MAP,,,cJSON_CreateTrue,cJSON_CreateNull,0.34,-0.062,ABSTAIN,CONFLICT,cJSON_CreateTrue,C cJSON.c:2457 (type = cJSON_True (1<<1)). Rust src/cjson.rs:1556: cJSON_New_Item(None); type_ = 1 << 1. Body match. Rejected matcher_forced=cJSON_CreateNull (src/cjson.rs:1546): sets 1 << 2.
cJSON_CreateFalse,cJSON.c,2468,() -> cJSON *,,,NO_MAP,,,cJSON_CreateFalse,cJSON_CreateObject,0.352,-0.05,ABSTAIN,CONFLICT,STUB:cJSON_CreateFalse,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2468 (New_Item; type = cJSON_False (1<<0)). Rust src/cjson.rs:1568 cJSON_CreateFalse() is a STUB returning None ('Default stub: no allocation/logic'); correspondence by exact name and () signature, and it is called from cJSON_AddFalseToObject where C calls cJSON_CreateFalse. No other Rust fn sets type_ = 1 << 0 alone (cJSON_CreateBool does so only in its else-branch and is CreateBool). Rejected matcher_forced=cJSON_CreateObject (src/cjson.rs:1625): sets 1 << 6."
cJSON_CreateBool,cJSON.c,2479,(boolean: cJSON_bool) -> cJSON *,,,NO_MAP,,,cJSON_CreateBool,cJSON_CreateBool,0.369,-0.045,ABSTAIN,single-source,cJSON_CreateBool,C cJSON.c:2479 (type = boolean ? cJSON_True : cJSON_False). Rust src/cjson.rs:1572: cJSON_New_Item(Some(&local_hooks)); type_ = if boolean != 0 {1<<1} else {1<<0}. Body match.
cJSON_CreateNumber,cJSON.c,2490,(num: double) -> cJSON *,,,NO_MAP,,,cJSON_CreateNumber,cJSON_CreateNumber,0.46,0.143,cJSON_CreateNumber,single-source,cJSON_CreateNumber,"C cJSON.c:2490 (type = cJSON_Number; valuedouble = num; INT_MAX/INT_MIN saturation). Rust src/cjson.rs:1590: type_ = 1<<3, valuedouble = num, same saturation constants. Body match."
cJSON_CreateString,cJSON.c,2516,(string: const char *) -> cJSON *,,,NO_MAP,,,cJSON_CreateString,cJSON_CreateString,0.252,-0.038,ABSTAIN,single-source,cJSON_CreateString,"C cJSON.c:2516 (type = cJSON_String; valuestring = cJSON_strdup(string); NULL -> Delete+NULL). Rust src/cjson.rs:2432: cJSON_New_Item(GLOBAL_HOOKS); type_ = 1<<4; dup = cjson_strdup(string, GLOBAL_HOOKS); None -> return None; valuestring = from_utf8_mut(dup). Body match (cJSON_Delete dropped)."
cJSON_CreateStringReference,cJSON.c,2533,(string: const char *) -> cJSON *,,,NO_MAP,,,cJSON_CreateStringReference,cJSON_CreateStringReference,0.325,-0.013,ABSTAIN,single-source,cJSON_CreateStringReference,C cJSON.c:2533 (type = cJSON_String | cJSON_IsReference; valuestring = cast_away_const(string)). Rust src/cjson.rs:1638: type_ = (1 << 4) | 256; valuestring = None with comment explaining cast_away_const. Body match.
cJSON_CreateObjectReference,cJSON.c,2545,(child: const cJSON *) -> cJSON *,,,NO_MAP,,,cJSON_CreateObjectReference,cJSON_CreateArrayReference,0.41,0.0,ABSTAIN,CONFLICT,cJSON_CreateObjectReference,C cJSON.c:2545 (type = cJSON_Object | cJSON_IsReference; child = cast_away_const(child)). Rust src/cjson.rs:1666: type_ = (1 << 6) | 256; child = cast_away_const(child). Body match. Rejected matcher_forced=cJSON_CreateArrayReference (src/cjson.rs:1686): sets (1 << 5) | 256.
cJSON_CreateArrayReference,cJSON.c,2556,(child: const cJSON *) -> cJSON *,,,NO_MAP,,,cJSON_CreateArrayReference,cJSON_CreateObjectReference,0.41,0.0,ABSTAIN,CONFLICT,cJSON_CreateArrayReference,C cJSON.c:2556 (type = cJSON_Array | cJSON_IsReference; child = cast_away_const). Rust src/cjson.rs:1686: type_ = (1 << 5) | 256; child = cast_away_const(child). Body match. Rejected matcher_forced=cJSON_CreateObjectReference (src/cjson.rs:1666): sets (1 << 6) | 256.
cJSON_CreateRaw,cJSON.c,2566,(raw: const char *) -> cJSON *,,,NO_MAP,,,cJSON_CreateRaw,cJSON_CreateRaw,0.297,-0.017,ABSTAIN,single-source,cJSON_CreateRaw,"C cJSON.c:2566 (type = cJSON_Raw; valuestring = strdup(raw); NULL -> NULL). Rust src/cjson.rs:2457: type_ = 1 << 7; cjson_strdup(raw, None); valuestring None -> return None. Body match."
cJSON_CreateArray,cJSON.c,2583,() -> cJSON *,,,NO_MAP,,,cJSON_CreateArray,cJSON_CreateArray,0.349,-0.038,ABSTAIN,single-source,cJSON_CreateArray,C cJSON.c:2583 (type = cJSON_Array (1<<5)). Rust src/cjson.rs:1608: cJSON_New_Item(None); type_ = 1 << 5. Body match.
cJSON_CreateObject,cJSON.c,2594,() -> cJSON *,,,NO_MAP,,,cJSON_CreateObject,cJSON_ParseWithOpts,0.403,-0.012,ABSTAIN,CONFLICT,cJSON_CreateObject,C cJSON.c:2594 (type = cJSON_Object (1<<6)). Rust src/cjson.rs:1625: cJSON_New_Item(Some(&global_hooks)); type_ = 1 << 6. Body match. Rejected matcher_forced=cJSON_ParseWithOpts (src/cjson.rs:3147): strlen + ParseWithLengthOpts delegate.
cJSON_CreateIntArray,cJSON.c,2606,"(numbers: const int *, count: int) -> cJSON *",,,NO_MAP,,,cJSON_CreateIntArray,cJSON_CreateIntArray,0.427,0.061,cJSON_CreateIntArray,single-source,cJSON_CreateIntArray,"C cJSON.c:2606 (count<0||numbers NULL -> NULL; CreateArray; loop CreateNumber(numbers[i]); suffix_object; a->child->prev = n). Rust src/cjson.rs:2486: same guard, cJSON_CreateArray(), loop cJSON_CreateNumber(numbers[i] as f64) with None -> None, then first_child.prev = last_child; a.child = first_child (mirrors a->child->prev = n). Body match; element type i32 matches C int."
cJSON_CreateFloatArray,cJSON.c,2646,"(numbers: const float *, count: int) -> cJSON *",,,NO_MAP,,,cJSON_CreateFloatArray,cJSON_CreateFloatArray,0.176,-0.196,ABSTAIN,single-source,STUB:cJSON_CreateFloatArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2646. Rust src/cjson.rs:2530 cJSON_CreateFloatArray(numbers: Option<&[f32]>, count) is a one-line STUB returning None; correspondence by exact name and f32 element type. Not implemented elsewhere (only IntArray and StringArray have loop bodies)."
cJSON_CreateDoubleArray,cJSON.c,2686,"(numbers: const double *, count: int) -> cJSON *",,,NO_MAP,,,cJSON_CreateDoubleArray,cJSON_AddFalseToObject,0.316,-0.049,ABSTAIN,CONFLICT,STUB:cJSON_CreateDoubleArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2686. Rust src/cjson.rs:2533 cJSON_CreateDoubleArray(numbers: Option<&[f64]>, count) is a one-line STUB returning None; correspondence by exact name and f64 element type. Rejected matcher_forced=cJSON_AddFalseToObject (src/cjson.rs:2626): CreateFalse + add_item_to_object."
cJSON_CreateStringArray,cJSON.c,2726,"(strings: const char *const *, count: int) -> cJSON *",,,NO_MAP,,,cJSON_CreateStringArray,cJSON_CreateStringArray,0.337,-0.021,ABSTAIN,single-source,cJSON_CreateStringArray,"C cJSON.c:2726 (guard; CreateArray; loop CreateString(strings[i]); suffix_object; a->child->prev = n). Rust src/cjson.rs:2943: same guard, cJSON_CreateArray(), loop cJSON_CreateString(Some(strings[i])) with None -> None; linking deliberately dropped (comment). Body match."
cJSON_Duplicate,cJSON.c,2769,"(item: const cJSON *, recurse: cJSON_bool) -> cJSON *",,,NO_MAP,,,cJSON_Duplicate,cJSON_GetObjectItemCaseSensitive,0.412,0.026,cJSON_GetObjectItemCaseSensitive,CONFLICT,cJSON_Duplicate,"C cJSON.c:2769 (return cJSON_Duplicate_rec(item, 0, recurse)). Rust src/cjson.rs:3109 returns cJSON_Duplicate_rec(item, 0, recurse). Body match. Rejected matcher_forced=cJSON_GetObjectItemCaseSensitive (src/cjson.rs:1747): get_object_item(..., 1)."
cJSON_Duplicate_rec,cJSON.c,2774,"(item: const cJSON *, depth: size_t, recurse: cJSON_bool) -> cJSON *",,,NO_MAP,,,cJSON_Duplicate_rec,cJSON_Duplicate_rec,0.221,-0.108,ABSTAIN,single-source,STUB:cJSON_Duplicate_rec,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2774 (New_Item, copy type & ~IsReference, valueint/valuedouble, strdup valuestring/string, recursive child walk with CJSON_CIRCULAR_LIMIT). Rust src/cjson.rs:2894 cJSON_Duplicate_rec(item, depth, recurse) is a STUB returning None; the comment explains it cannot allocate ('The provided cJSON_New_Item implementation already returns None'). Correspondence by exact name, 3-param signature, and being the callee of cJSON_Duplicate. No other Rust fn copies valueint/valuedouble/strdup into a new node (create_reference copies but sets |= 256 and is C create_reference)."
skip_oneline_comment,cJSON.c,2860,(input: char **) -> void,,,NO_MAP,,,skip_oneline_comment,,,,NONE,single-source,skip_oneline_comment,"C cJSON.c:2860 (*input += 2; scan to '\0'; on '\n' advance 1 and return). Rust src/cjson.rs:63: i = 2 (or len), while inner[i] != 0 { if '\n' { i += 1; break } i += 1 }, *inner = &inner[i..]. Body match."
skip_multiline_comment,cJSON.c,2873,(input: char **) -> void,,,NO_MAP,,,skip_multiline_comment,,,,NONE,single-source,STUB:skip_multiline_comment,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2873 (*input += 2; scan for '*' '/' then advance 2). Rust src/cjson.rs:82 skip_multiline_comment(input: &mut Option<&mut &[u8]>) has an EMPTY body; its comment says the C it saw was 'sizeof("""") - sizeof("""")' (i.e. the tool saw a macro-mangled version) and treats it as a no-op. Correspondence by exact name and the input: char** parameter; no other Rust fn searches for ""*/"" (grep found none). Degenerate no-op STUB."
minify_string,cJSON.c,2887,"(input: char **, output: char **) -> void",,,NO_MAP,,,minify_string,,,,NONE,single-source,minify_string,"C cJSON.c:2887 (copy opening quote; loop copying bytes; on '""' copy and return; on '\\' followed by '""' copy both and skip). Rust src/cjson.rs:11: output[0] = input[0]; advance; loop until '\0'; if b'""' write and return; else if b'\\' && input[1] == b'""' copy input[1] and advance. Body match (C lines quoted in comments)."
cJSON_Minify,cJSON.c,2909,(json: char *) -> void,,,NO_MAP,,,cJSON_Minify,,,,NONE,single-source,STUB:cJSON_Minify,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2909 (in-place whitespace/comment stripping dispatching to skip_oneline_comment / skip_multiline_comment / minify_string). Rust src/cjson.rs:147 cJSON_Minify(json: Option<&mut [u8]>) is a STUB ('Stub only, per requirements: no implementation'); correspondence by exact name and single json parameter. No other Rust fn calls skip_oneline_comment/skip_multiline_comment/minify_string (grep: zero callers for all three)."
cJSON_IsInvalid,cJSON.c,2957,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsInvalid,cJSON_IsTrue,0.511,-0.035,ABSTAIN,CONFLICT,cJSON_IsInvalid,C cJSON.c:2957 ((type & 0xFF) == cJSON_Invalid (0)). Rust src/cjson.rs:304: ((it.type_ & 0xFF) == 0) as i32. Body match. Rejected matcher_forced=cJSON_IsTrue (src/cjson.rs:320): compares == 1 << 1.
cJSON_IsFalse,cJSON.c,2967,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsFalse,cJSON_IsInvalid,0.545,-0.001,ABSTAIN,CONFLICT,cJSON_IsFalse,C cJSON.c:2967 ((type & 0xFF) == cJSON_False (1<<0)). Rust src/cjson.rs:310: type_low_byte == 1 << 0. Body match. Rejected matcher_forced=cJSON_IsInvalid (src/cjson.rs:304): compares == 0.
cJSON_IsTrue,cJSON.c,2977,(item: const cJSON *const) -> cJSON_bool,,,NO_MAP,,,cJSON_IsTrue,cJSON_IsArray,0.509,-0.036,ABSTAIN,CONFLICT,cJSON_IsTrue,C cJSON.c:2977 ((type & 0xff) == cJSON_True (1<<1)). Rust src/cjson.rs:320: (it.type_ & 0xff) == (1 << 1) with the C expression quoted. Body match. Rejected matcher_forced=cJSON_IsArray (src/cjson.rs:382): compares == 1 << 5.
